%Seed=495516
1	1.000000
2	1.000000
3	0.990000
4	1.000000
5	0.960000
6	0.980000
7	0.970000
8	0.960000
9	0.960000
10	0.960000
11	0.880000
12	0.840000
13	0.870000
14	0.850000
15	0.840000
16	0.770000
17	0.760000
18	0.700000
19	0.760000
20	0.690000
21	0.660000
22	0.670000
23	0.590000
24	0.620000
25	0.470000
26	0.490000
27	0.500000
28	0.440000
29	0.400000
30	0.490000
31	0.370000
32	0.360000
33	0.320000
34	0.390000
35	0.340000
36	0.340000
37	0.290000
38	0.270000
39	0.160000
40	0.200000
41	0.240000
42	0.180000
43	0.230000
44	0.160000
45	0.140000
46	0.150000
47	0.090000
48	0.120000
49	0.080000
50	0.150000
51	0.080000
52	0.100000
53	0.020000
54	0.070000
55	0.060000
56	0.030000
57	0.020000
58	0.070000
59	0.020000
60	0.030000
61	0.060000
62	0.040000
63	0.010000
64	0.020000
65	0.020000
66	0.010000
67	0.010000
68	0.010000
69	0.000000
70	0.010000
71	0.010000
72	0.020000
73	0.000000
74	0.000000
75	0.000000
76	0.000000
77	0.000000
78	0.000000
79	0.000000
80	0.000000
81	0.000000
82	0.010000
83	0.000000
84	0.000000
85	0.000000
86	0.000000
87	0.000000
88	0.000000
89	0.000000
90	0.000000
91	0.000000
92	0.000000
93	0.000000
94	0.000000
95	0.000000
96	0.000000
97	0.000000
98	0.000000
99	0.000000
